iter	Passed	Remaining
981	48890	896
982	48939	846
983	48983	796
984	49026	746
985	49088	696
986	49144	647
987	49195	597
988	49246	547
989	49308	498
990	49383	448
991	49432	398
992	49481	348
993	49520	298
994	49576	249
995	49615	199
996	49653	149
997	49688	99
998	49726	49
999	49761	0
